id,apartmentImage,apartmentAdvertTitle,apartmentSize,numberOfApartmentRooms,apartmentPrice,apartmentPropertyType,apartmentLocation,apartmentAdvertDate
1,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/8/1/3/7/0/4/-oEz36D-cmPFxccSgXSmU.jpg,devren kiralık istoçta hazır yapılı horeca ekipmanları showroom mağaza,202 m²,,2.100.000 ₺,Kiralık,Bağcılar,03-05-2023
2,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/5/0/1/8/6/0/4/1682337784170-40681058.jpg,çapa şehreminide 2+1 kiralık eşyalı daire yabancıya uygun,110 m²,2 + 1,12.000 ₺,Sahibinden Kiralık Daire,Fatih,28-04-2023
3,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/0/0/3/0/0/4/1680976102-455617-40030002.jpeg,istanbul şişli’de günlük kiralık residance daire  instagram id. @luxury_houses_in_istanbul,360 m²,3 + 1,6.000 ₺,Günlük Kiralık,Şişli,18-04-2023
4,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/1/5/4/7/0/4/41ee6754-88ad-4d24-bf79-43d5c9cc71ad.jpeg,merter kenan yazıcı'da 3+1 sahibinden satılık.130m2 asansörlü,130 m²,3 + 1,3.600.000 ₺,Sahibinden Satılık Daire,Güngören,05-05-2023
5,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/7/5/4/7/0/4/1683359756-452131-40745774.jpeg,sahibinden bahçeli bahçe katı,180 m²,2 + 2,1.850.000 ₺,Sahibinden Satılık Daire,Ümraniye,06-05-2023
6,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/2/5/4/7/0/4/4db69e96-d288-48f7-9086-2518f3ec39e4.jpeg,yabancı satışına uygundur 3+1 yeni bina 185m2 bürüt,180 m²,3 + 1,6.400.000 ₺,Sahibinden Satılık Daire,Kartal,06-05-2023
7,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/8/1/5/4/7/0/4/60ea0f7b-4405-4081-b395-b497e4155b0a.jpeg,sahibinden satılık beylikdüzüne yakın metrobüse yakın 2+1 daire,115 m²,2 + 1,1.650.000 ₺,Sahibinden Satılık Daire,Esenyurt,05-05-2023
8,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/5/1/5/4/7/0/4/3964f4b4-c59b-407e-be30-60051948c14e.jpeg,oda/room in abbasağa-beşiktaş,25 m²,3 + 1,6.500 ₺,Sahibinden Kiralık Daire,Beşiktaş,05-05-2023
9,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/5/1/5/4/7/0/4/1683329469153-40745151.jpg,metrobüse yakın aile binasında gerçek daire gerçek ilan,115 m²,2 + 1,1.400.000 ₺,Sahibinden Satılık Daire,Beylikdüzü,06-05-2023
10,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/7/1/5/4/7/0/4/00d919fc-d84b-4d97-a419-0fb6afdc61a9.jpeg,sahibinden 2+1 şirinevler yürüyüş yolunda,100 m²,2 + 1,1.699.000 ₺,Sahibinden Satılık Daire,Bahçelievler,05-05-2023
11,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/8/2/5/4/7/0/4/47bb7f8c-0ab9-4e2c-9105-94e0a00be6b6.jpeg,sahibinden brandium r2 blok 22.kat 2+1 kurumsal kiracılı ofis,102 m²,2 + 1,6.000.000 ₺,Sahibinden Satılık Daire,Ataşehir,06-05-2023
12,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/0/2/5/4/7/0/4/b6ed9979-938b-46f3-8aaf-0a173a0523f4.jpeg,sahibinden rumeli hisarında nefis boğaz manzaralı daire,180 m²,3 + 1,21.300.000 ₺,Sahibinden Satılık Daire,Sarıyer,06-05-2023
13,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/2/3/5/4/7/0/4/ddeb5fc4-ac3a-4234-82b3-083b45e8a836.jpeg,esenyurt garden ı. etap aile sitesi,122 m²,2 + 1,2.245.000 ₺,Sahibinden Satılık Daire,Esenyurt,06-05-2023
14,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/1/2/5/4/7/0/4/c1428d11-fe47-41e1-9035-27b89f4421bd.jpeg,3+1 site içi lüx daire masrafsız,130 m²,3 + 1,2.875.000 ₺,Sahibinden Satılık Daire,Pendik,06-05-2023
15,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/0/8/4/7/0/4/VSCMz04alaVypvdb8uOu6.jpg,sefaköy e5 metrobüse yakın 3+1 daire,130 m²,3 + 1,2.950.000 ₺,Sahibinden Satılık Daire,Küçükçekmece,06-05-2023
16,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/9/2/5/4/7/0/4/2919cef1-6af1-4cdc-8d5c-9defdab5b58a.jpeg,sahibinden aydınlı en işlek caddesinde tam merkez satılık daire,100 m²,2 + 1,2.150.000 ₺,Sahibinden Satılık Daire,Tuzla,06-05-2023
17,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/4/6/4/7/0/4/e0JQW-CY07G4yf9ZIPHrw.jpeg,bagdat caddesi çiftehavuzlarda 3+1 satılık daire,125 m²,3 + 1,10.500.000 ₺,Sahibinden Satılık Daire,Kadıköy,06-05-2023
18,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/2/5/4/7/0/4/daee5a49-07a9-4106-8849-81efbc480f88.jpeg,önay garden residence 1+0 büyük tip stüdyo eşyalı,55 m²,Stüdyo,8.500 ₺,Kiralık,Esenyurt,06-05-2023
19,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/4/7/4/7/0/4/1683371435618-40747467.jpg,armağanevler'de sahibinden 2+1 fırsat daire,85 m²,2 + 1,2.700.000 ₺,Sahibinden Satılık Daire,Ümraniye,06-05-2023
20,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/3/5/8/4/7/0/4/awKbnLIt1X769tNQ56ZTD.jpg,yıldırım mh satılık iskanlı düz giriş dükkan,30 m²,,2.500.000 ₺,Satılık,Bayrampaşa,06-05-2023
21,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/2/5/4/7/0/4/df373bdd-dbb7-41a2-bcb9-d1395c7b14d6.jpeg,"muhteşem deniz manzaralı, eşyalı (3-12 aylık) 1 haziran sonrası",110 m²,2 + 1,46.000 ₺,Sahibinden Kiralık Daire,Kadıköy,06-05-2023
22,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/8/6/4/7/0/4/1683367318911-40746807.jpg,metrobüs yakın 1+1 dairem satılık,70 m²,1 + 1,1.200.000 ₺,Sahibinden Satılık Daire,Esenyurt,06-05-2023
23,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/1/5/4/7/0/4/389c9a92-1861-41d3-8bfe-8058f0080d1a.jpeg,e-5 üzeri vatandaşlığa uygun konut+ticari imarlı arsa sahibinden,450 m²,,11.000.000 ₺,Satılık,Büyükçekmece,05-05-2023
24,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/3/5/4/7/0/4/1683341742917-40745320.jpg,kiralik  dükkan,65 m²,,10.000 ₺,Kiralık,Fatih,06-05-2023
25,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/2/5/4/7/0/4/4a4c9c74-e07b-46ab-b1b5-2f916439eaff.jpeg,sahibinden kiralık denize sıfır panoramik manzaralı eşyalı daire,120 m²,2 + 1,22.000 ₺,Kiralık,Silivri,06-05-2023
26,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/4/2/5/4/7/0/4/eab2c427-a7a3-4374-a83b-7ed98409ab50.jpeg,sahibinden fırsat! çok temiz geniş 3+1 bahçeli ara kat doğalgaz,120 m²,3 + 1,7.000 ₺,Sahibinden Kiralık Daire,Avcılar,06-05-2023
27,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/1/2/5/4/7/0/4/bf431551-6980-48e1-a311-78b28522e70a.jpeg,site içi havuzlu alemdag çatalmeşe de dublex terasli daire,165 m²,2 + 1,4.950.000 ₺,Sahibinden Satılık Daire,Çekmeköy,06-05-2023
28,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/2/2/5/4/7/0/4/2dff6379-47cf-4ab2-b051-71694870acd0.jpeg,sahibinden ataşehir'in en güzel yerinden satılık 3+1 daire,157 m²,3 + 1,9.750.000 ₺,Sahibinden Satılık Daire,Ataşehir,06-05-2023
